ID,AGE,GENDER,DRIVING_EXPERIENCE,EDUCATION,INCOME,CREDIT_SCORE,VEHICLE_OWNERSHIP,VEHICLE_YEAR,MARRIED,CHILDREN,POSTAL_CODE,ANNUAL_MILEAGE,SPEEDING_VIOLATIONS,DUIS,PAST_ACCIDENTS,TYPE_OF_VEHICLE,OUTCOME
685944,16-25,male,10-19y,high school,poverty,0.6246249020915825,1.0,before 2015,0.0,1.0,10238,7000.0,0,0,0,SUV,0.0
405628,40-64,male,10-19y,university,upper class,0.6310258763352461,1.0,after 2015,1.0,1.0,10238,8000.0,0,0,2,Sports Car,0.0
184545,40-64,female,0-9y,high school,working class,0.6929972472339891,1.0,before 2015,0.0,1.0,36241,13000.0,2,0,0,Sedan,0.0
417449,65+,male,20-29y,none,upper class,0.737639885159505,1.0,after 2015,0.0,0.0,10238,10000.0,6,0,0,HatchBack,0.0
597068,26-39,male,20-29y,university,upper class,0.7005703967069009,1.0,after 2015,1.0,0.0,31421,10000.0,0,0,0,SUV,1.0
118042,65+,male,0-9y,none,upper class,0.4880683545392144,0.0,before 2015,0.0,0.0,10238,14000.0,0,0,0,Sports Car,0.0
402084,65+,female,0-9y,high school,upper class,0.6732511232964209,1.0,before 2015,0.0,1.0,10238,10000.0,0,0,0,Sedan,0.0
872524,40-64,female,20-29y,high school,upper class,0.7955365025131758,1.0,before 2015,0.0,1.0,10238,12000.0,1,0,0,SUV,1.0
396801,16-25,female,10-19y,high school,upper class,0.7672712582446635,1.0,after 2015,1.0,1.0,36924,3000.0,6,0,4,Sports Car,1.0
544996,40-64,male,0-9y,none,working class,0.6822826105403408,1.0,before 2015,1.0,0.0,10238,11000.0,3,1,0,HatchBack,0.0
514272,65+,female,0-9y,high school,upper class,0.598539864740123,1.0,after 2015,1.0,0.0,10238,10000.0,0,0,0,Sedan,1.0
322753,16-25,male,0-9y,high school,poverty,0.8167132872062692,1.0,before 2015,0.0,0.0,10238,7000.0,0,0,0,SUV,1.0
523132,16-25,male,20-29y,high school,poverty,0.4593170489449366,1.0,after 2015,1.0,0.0,37136,13000.0,2,0,0,Sedan,1.0
398136,65+,female,10-19y,high school,poverty,0.6607021091353541,1.0,after 2015,1.0,0.0,10238,4000.0,1,0,0,SUV,1.0
62613,40-64,female,20-29y,high school,working class,0.5312987833896807,0.0,before 2015,0.0,1.0,10238,15000.0,0,0,0,Sports Car,1.0
334926,26-39,male,20-29y,high school,upper class,0.1420770904232283,1.0,after 2015,1.0,1.0,10238,7000.0,0,0,1,SUV,0.0
371335,26-39,female,20-29y,none,upper class,0.7093787727354706,1.0,before 2015,1.0,1.0,10238,11000.0,0,0,0,SUV,0.0
149398,26-39,male,30y+,university,poverty,0.6171442692304455,0.0,before 2015,1.0,1.0,29126,9000.0,0,0,0,Sports Car,1.0
908064,40-64,male,0-9y,high school,working class,0.627080519989454,1.0,before 2015,1.0,1.0,10238,13000.0,1,0,0,Sedan,0.0
340863,40-64,female,20-29y,none,working class,0.5705417481949508,1.0,before 2015,1.0,1.0,10238,12000.0,0,0,0,Sports Car,0.0
56546,40-64,male,10-19y,high school,middle class,0.6032565153527394,0.0,after 2015,1.0,0.0,92098,13000.0,2,0,0,SUV,0.0
466995,26-39,male,30y+,high school,upper class,0.7231991071070833,0.0,after 2015,0.0,0.0,10238,14000.0,0,0,0,Sedan,0.0
332129,40-64,male,20-29y,high school,upper class,0.9317437810869172,1.0,after 2015,0.0,1.0,10238,9000.0,0,0,0,HatchBack,0.0
346172,40-64,male,0-9y,none,middle class,0.4800862925016834,1.0,before 2015,1.0,1.0,10238,10000.0,0,0,0,SUV,0.0
732975,65+,male,10-19y,university,working class,0.4981208437341475,1.0,after 2015,1.0,0.0,10238,10000.0,0,0,0,HatchBack,1.0
874,40-64,male,0-9y,high school,poverty,0.6961836353385419,1.0,after 2015,1.0,1.0,10238,14000.0,0,0,1,SUV,1.0
137662,16-25,male,0-9y,university,poverty,0.5632263294774925,1.0,after 2015,1.0,0.0,10238,14000.0,0,0,1,Sports Car,1.0
695245,65+,female,0-9y,high school,working class,0.8138955931926399,1.0,before 2015,0.0,1.0,10238,10000.0,0,0,5,SUV,1.0
929401,65+,male,20-29y,none,working class,0.5481274085888533,1.0,after 2015,1.0,1.0,33455,13000.0,1,0,0,Sports Car,1.0
4804,40-64,male,10-19y,university,working class,0.5486667266324579,1.0,after 2015,1.0,0.0,10238,12000.0,0,0,0,SUV,0.0
119949,65+,male,20-29y,none,upper class,0.5639269704017253,1.0,after 2015,1.0,1.0,10238,5000.0,1,0,0,Sports Car,0.0
149104,65+,female,20-29y,high school,working class,0.5858874088954409,1.0,after 2015,1.0,1.0,10238,14000.0,0,0,0,Sports Car,0.0
676202,65+,male,30y+,none,middle class,0.7856547125977847,1.0,before 2015,0.0,0.0,35474,15000.0,0,0,0,Sedan,0.0
474356,26-39,male,30y+,university,middle class,0.579494733959499,1.0,after 2015,1.0,1.0,10238,13000.0,2,1,0,HatchBack,1.0
658692,40-64,female,0-9y,university,poverty,0.340975066232134,0.0,before 2015,1.0,1.0,10238,7000.0,1,0,0,Sedan,0.0
750885,40-64,female,0-9y,none,upper class,0.607218615362322,1.0,before 2015,0.0,1.0,10238,10000.0,0,0,0,Sedan,1.0
267905,40-64,female,30y+,high school,middle class,0.5751467979791332,0.0,before 2015,1.0,0.0,10238,14000.0,0,0,0,Sedan,0.0
8464,65+,male,20-29y,high school,poverty,0.6676934035669859,1.0,before 2015,0.0,0.0,10238,14000.0,0,0,0,Sports Car,0.0
54228,40-64,male,10-19y,university,poverty,0.7403363310699652,1.0,before 2015,0.0,0.0,34862,14000.0,1,0,1,Sedan,0.0
472,40-64,female,20-29y,high school,working class,0.5930467101100828,1.0,before 2015,1.0,1.0,32050,10000.0,0,2,0,Sports Car,1.0
22729,65+,male,10-19y,none,upper class,0.6331496437120693,1.0,after 2015,1.0,0.0,10238,11000.0,0,1,0,Sports Car,0.0
257016,65+,male,20-29y,high school,upper class,0.6134537988412706,1.0,before 2015,0.0,0.0,10238,7000.0,0,0,0,SUV,0.0
139545,40-64,male,0-9y,high school,poverty,0.5916226670395309,0.0,after 2015,1.0,1.0,28000,9000.0,0,0,1,Sports Car,0.0
567602,65+,female,10-19y,high school,poverty,0.5584864332329941,1.0,after 2015,0.0,1.0,30733,10000.0,0,0,0,Sports Car,0.0
144559,26-39,female,20-29y,high school,working class,0.570499449911836,0.0,after 2015,1.0,1.0,10238,13000.0,1,0,2,HatchBack,0.0
243944,26-39,female,20-29y,none,upper class,0.6503849992861318,1.0,before 2015,1.0,1.0,10238,12000.0,0,0,0,Sports Car,0.0
524304,40-64,male,20-29y,university,middle class,0.8627330102369062,1.0,after 2015,1.0,0.0,10238,9000.0,0,0,0,Sedan,0.0
522575,65+,male,20-29y,high school,poverty,0.5020212528941932,1.0,before 2015,1.0,0.0,10238,13000.0,0,0,0,HatchBack,0.0
522001,16-25,female,20-29y,university,working class,0.3782918320865961,0.0,after 2015,1.0,0.0,10238,8000.0,0,0,0,Sedan,0.0
710567,26-39,female,20-29y,none,working class,0.7897064239440063,0.0,before 2015,0.0,0.0,10238,14000.0,0,0,0,Sports Car,0.0
11976,40-64,male,20-29y,university,middle class,0.6047117278983202,1.0,before 2015,1.0,1.0,10238,9000.0,0,0,1,Sedan,0.0
571104,16-25,male,0-9y,high school,upper class,0.5793047808184044,1.0,after 2015,0.0,0.0,10238,13000.0,2,0,0,Sports Car,1.0
253996,16-25,male,20-29y,none,middle class,0.7899264371988466,1.0,before 2015,1.0,0.0,10238,7000.0,3,0,0,Sports Car,0.0
273376,16-25,male,0-9y,none,upper class,0.5201374703973349,1.0,after 2015,1.0,0.0,10238,14000.0,2,0,0,HatchBack,0.0
271619,65+,male,30y+,university,working class,0.8337867892287081,1.0,after 2015,1.0,1.0,10238,10000.0,2,0,1,Sedan,1.0
753331,16-25,male,10-19y,university,poverty,0.4142410138602789,0.0,before 2015,0.0,1.0,10238,10000.0,0,0,1,HatchBack,1.0
996487,16-25,female,10-19y,high school,upper class,0.5694495455788202,1.0,before 2015,1.0,1.0,10238,10000.0,0,0,0,Sports Car,0.0
425752,16-25,female,20-29y,high school,working class,0.5906394209047989,1.0,before 2015,1.0,0.0,10238,9000.0,0,0,0,Sports Car,1.0
343706,26-39,female,10-19y,university,working class,0.4678988076386564,1.0,before 2015,1.0,1.0,34105,15000.0,2,0,2,HatchBack,1.0
797708,40-64,female,20-29y,university,upper class,0.4762720307243216,1.0,before 2015,1.0,1.0,92101,6000.0,0,0,0,HatchBack,0.0
512727,40-64,female,0-9y,none,working class,0.5672056377111249,1.0,before 2015,1.0,0.0,10238,11000.0,0,0,1,SUV,0.0
736600,65+,male,20-29y,university,working class,0.5869521304628663,1.0,before 2015,0.0,1.0,10238,10000.0,0,0,0,Sedan,1.0
306157,16-25,male,10-19y,university,poverty,0.5599672352080436,1.0,after 2015,0.0,0.0,10238,14000.0,0,0,0,Sedan,0.0
170742,65+,male,20-29y,university,upper class,0.5561765958568128,1.0,after 2015,1.0,0.0,10238,14000.0,0,0,4,SUV,0.0
8991,26-39,male,20-29y,high school,middle class,0.4838566601613577,1.0,after 2015,0.0,1.0,10238,11000.0,0,0,0,Sedan,1.0
943768,26-39,male,10-19y,university,working class,0.5158270445194588,1.0,before 2015,0.0,0.0,10238,10000.0,1,0,0,HatchBack,1.0
718779,26-39,male,0-9y,university,upper class,0.6936148930702063,1.0,before 2015,1.0,1.0,10238,15000.0,0,0,0,HatchBack,1.0
428733,65+,male,10-19y,university,working class,0.662256161475436,0.0,before 2015,0.0,1.0,10238,12000.0,1,0,0,SUV,0.0
544308,65+,male,20-29y,none,upper class,0.5681983812047839,0.0,after 2015,1.0,0.0,10238,11000.0,0,0,7,HatchBack,1.0
970124,40-64,female,0-9y,high school,working class,0.7249306641721776,1.0,before 2015,0.0,0.0,10238,10000.0,0,0,0,HatchBack,1.0
5478,26-39,female,0-9y,university,working class,0.3246676915489233,0.0,before 2015,0.0,1.0,10238,10000.0,0,0,0,Sports Car,0.0
391126,65+,male,20-29y,none,working class,0.7283936589676617,1.0,before 2015,1.0,0.0,34095,10000.0,0,0,1,Sports Car,1.0
227149,65+,female,20-29y,university,working class,0.3830914737161631,1.0,before 2015,1.0,1.0,10238,7000.0,1,0,0,Sedan,0.0
279741,40-64,male,10-19y,none,middle class,0.4492971904644987,1.0,before 2015,1.0,0.0,10238,9000.0,1,0,0,Sedan,1.0
391750,40-64,male,0-9y,university,upper class,0.7884920985695649,1.0,after 2015,1.0,1.0,10238,11000.0,2,0,0,Sports Car,0.0
220565,26-39,female,20-29y,high school,working class,0.5815464141194788,1.0,before 2015,1.0,1.0,32921,13000.0,0,0,0,Sports Car,0.0
83653,65+,male,10-19y,high school,upper class,0.6856564557503838,0.0,before 2015,0.0,1.0,33021,13000.0,0,0,0,Sports Car,0.0
298325,65+,female,10-19y,high school,working class,0.4515798894104986,1.0,after 2015,1.0,1.0,33190,7000.0,0,1,0,Sports Car,1.0
549915,40-64,female,0-9y,high school,working class,0.6184258536732661,1.0,before 2015,0.0,1.0,10238,9000.0,0,4,0,Sports Car,0.0
592897,40-64,male,20-29y,university,upper class,0.4892779548157056,1.0,after 2015,0.0,1.0,10238,14000.0,1,0,0,Sports Car,1.0
420506,65+,male,10-19y,high school,upper class,0.3751683638549956,1.0,after 2015,0.0,0.0,10238,13000.0,0,0,0,Sedan,0.0
190103,26-39,female,0-9y,high school,middle class,0.5047995801263705,0.0,after 2015,1.0,0.0,10238,9000.0,0,0,0,Sports Car,0.0
131931,65+,male,0-9y,high school,upper class,0.4557085834063416,1.0,before 2015,0.0,0.0,10238,7000.0,1,0,0,Sedan,1.0
683314,26-39,male,10-19y,high school,upper class,0.4821618212157091,1.0,after 2015,1.0,1.0,10238,11000.0,1,0,0,Sports Car,0.0
618646,65+,male,20-29y,high school,working class,0.470068702876363,0.0,after 2015,1.0,1.0,10238,13000.0,0,0,0,Sports Car,1.0
7301,65+,male,0-9y,high school,upper class,0.60032218213082,1.0,after 2015,1.0,1.0,32768,10000.0,0,0,2,Sports Car,1.0
520188,65+,male,10-19y,high school,upper class,0.6372116257789129,0.0,before 2015,1.0,1.0,10238,11000.0,0,0,0,HatchBack,1.0
328867,65+,male,30y+,university,working class,0.6596206787868787,0.0,after 2015,1.0,1.0,10238,15000.0,1,0,6,Sports Car,0.0
378084,40-64,male,20-29y,university,poverty,0.5706282395287696,1.0,before 2015,1.0,0.0,10238,11000.0,0,2,0,Sports Car,0.0
919738,65+,female,0-9y,high school,working class,0.506626367270606,1.0,before 2015,1.0,0.0,10238,9000.0,0,0,0,Sports Car,1.0
36048,40-64,female,10-19y,none,working class,0.5716104560776532,1.0,before 2015,1.0,0.0,27937,12000.0,0,0,0,Sports Car,0.0
989660,26-39,male,0-9y,high school,middle class,0.522388313900023,1.0,before 2015,1.0,1.0,10238,10000.0,0,0,0,SUV,0.0
502333,65+,male,10-19y,university,upper class,0.7043582926577386,1.0,before 2015,0.0,1.0,10238,9000.0,1,0,0,HatchBack,0.0
832708,40-64,female,10-19y,none,upper class,0.6037066211483779,1.0,after 2015,0.0,1.0,10238,13000.0,0,0,0,HatchBack,1.0
529994,40-64,male,10-19y,high school,upper class,0.7197264006011226,1.0,before 2015,0.0,0.0,10238,13000.0,1,0,0,Sedan,0.0
506746,65+,male,10-19y,none,upper class,0.6669888876839485,1.0,after 2015,1.0,0.0,10238,14000.0,2,0,0,SUV,1.0
231505,40-64,male,10-19y,university,upper class,0.5651431710380445,1.0,after 2015,0.0,1.0,92101,12000.0,0,0,0,HatchBack,0.0
530613,26-39,female,20-29y,high school,upper class,0.6485742380803816,1.0,after 2015,1.0,1.0,33891,7000.0,0,0,0,HatchBack,1.0
688779,65+,male,20-29y,university,poverty,0.5702502619684594,1.0,after 2015,1.0,0.0,10238,10000.0,0,0,1,SUV,1.0
366256,65+,male,20-29y,high school,working class,0.4545314294713289,0.0,after 2015,1.0,0.0,10238,4000.0,1,0,0,Sports Car,0.0
517915,40-64,female,10-19y,high school,upper class,0.4255616784534347,0.0,before 2015,0.0,1.0,10238,14000.0,1,0,0,Sedan,0.0
291995,65+,male,20-29y,none,upper class,0.5033284019784244,1.0,after 2015,1.0,1.0,10238,14000.0,0,0,0,Sedan,0.0
47610,65+,male,0-9y,none,middle class,0.7826046287134836,1.0,before 2015,1.0,0.0,10238,20000.0,5,0,0,HatchBack,0.0
920501,26-39,male,20-29y,none,middle class,0.5736138060502599,1.0,after 2015,1.0,1.0,10238,6000.0,0,0,0,SUV,0.0
28436,65+,male,0-9y,high school,upper class,0.612371404372482,1.0,after 2015,1.0,1.0,10238,13000.0,0,0,0,Sedan,1.0
153119,65+,male,0-9y,none,upper class,0.5526150882533136,1.0,after 2015,0.0,1.0,34777,6000.0,0,0,2,SUV,0.0
398536,16-25,male,10-19y,high school,upper class,0.6791913252699823,1.0,before 2015,0.0,1.0,10238,10000.0,0,0,1,Sedan,0.0
897497,65+,female,0-9y,high school,upper class,0.3881106322989922,0.0,before 2015,0.0,1.0,92092,10000.0,3,0,0,Sports Car,1.0
62713,40-64,female,20-29y,none,poverty,0.496085908201361,1.0,after 2015,1.0,1.0,33634,7000.0,4,0,0,Sedan,0.0
870053,40-64,male,0-9y,high school,working class,0.3927257318923726,1.0,after 2015,0.0,0.0,10238,14000.0,0,1,2,Sports Car,1.0
618861,40-64,male,20-29y,none,poverty,0.4326260010162663,1.0,after 2015,0.0,0.0,10238,7000.0,0,0,2,Sedan,0.0
670379,40-64,male,20-29y,high school,upper class,0.5911244327640217,1.0,after 2015,0.0,0.0,10238,12000.0,0,0,9,Sedan,1.0
111518,40-64,male,0-9y,university,upper class,0.4591385481752507,1.0,after 2015,1.0,1.0,92002,7000.0,0,0,0,SUV,1.0
768032,40-64,male,0-9y,none,working class,0.6884439357645717,1.0,after 2015,0.0,0.0,10238,15000.0,0,0,0,HatchBack,1.0
299119,65+,male,0-9y,university,upper class,0.4826223062285558,1.0,before 2015,0.0,1.0,10238,7000.0,2,0,0,SUV,0.0
57926,26-39,female,20-29y,none,upper class,0.7618467994176166,0.0,after 2015,0.0,0.0,10238,13000.0,0,0,0,HatchBack,0.0
454810,40-64,male,10-19y,university,middle class,0.7769571532263585,1.0,after 2015,0.0,1.0,10238,11000.0,0,0,0,Sedan,1.0
779067,40-64,male,30y+,none,working class,0.6576537458018391,1.0,after 2015,1.0,0.0,10238,14000.0,0,0,0,HatchBack,1.0
435634,40-64,male,0-9y,high school,middle class,0.6107415507947176,1.0,before 2015,1.0,1.0,10238,4000.0,1,0,1,SUV,0.0
504681,65+,male,20-29y,none,upper class,0.6199105910430666,1.0,after 2015,0.0,0.0,10238,14000.0,0,0,0,HatchBack,0.0
478594,40-64,female,20-29y,none,upper class,0.2729891812800589,1.0,after 2015,1.0,1.0,10238,14000.0,0,0,0,HatchBack,1.0
6873,16-25,male,0-9y,university,upper class,0.44865146610057,0.0,before 2015,1.0,1.0,13206,16000.0,0,0,2,Sedan,1.0
968293,40-64,male,20-29y,university,upper class,0.3703538943835628,1.0,after 2015,1.0,1.0,10238,10000.0,0,0,0,Sports Car,0.0
377674,40-64,male,0-9y,high school,working class,0.5306477553585078,1.0,before 2015,1.0,1.0,10238,12000.0,1,0,0,Sports Car,1.0
